CustomerID,Recency,Frequency,Monetary,Predicted_CLV,CLV_Segment
           ,1,1422,1741196.1099999999,1690141.7561697424,High Value
      12346,326,1,77183.6,1129.818994358479,Medium Value
      12347,2,7,4299.8,4287.444581056379,High Value
      12348,75,4,1797.24,1612.3590446894636,High Value
      12349,19,1,1757.55,-2651.7060854900087,Low Value
      12350,310,1,334.4,932.7362540406416,Medium Value
      12352,36,8,2506.04,5897.670583920795,High Value
      12353,204,1,89.0,-372.93690056502464,Medium Value
      12354,232,1,1079.4,-28.042105008810722,Medium Value
      12355,214,1,459.4,-249.76018786637678,Medium Value
      12356,23,3,2811.43,-219.5850410325197,Medium Value
      12357,33,1,6101.110000000001,-2479.258687711902,Low Value
      12358,2,2,1168.06,-1669.6813173886949,Low Value
      12359,58,4,6355.78,1402.9586331017622,Medium Value
      12360,52,3,2657.02,137.6274257935588,Medium Value
      12361,287,1,189.9,649.4298148337516,Medium Value
      12362,3,10,5226.23,7874.037791393288,High Value
      12363,110,2,552.0,-339.372820243299,Medium Value
      12364,8,4,1308.06,787.0750696085238,Medium Value
      12365,291,2,641.38,1890.1256796022258,High Value
      12367,4,1,168.9,-2836.4711545379805,Low Value
      12370,51,4,3412.19,1316.7349342127086,Medium Value
      12371,45,2,1887.96,-1140.0214527845096,Low Value
      12372,72,3,1298.04,383.98085119085454,Medium Value
      12373,311,1,364.6,945.0539253105067,Medium Value
      12374,25,1,742.9300000000001,-2577.8000578708197,Low Value
      12375,11,2,457.5,-1558.822275959912,Low Value
      12377,315,2,1623.08,2185.749790078981,High Value
      12378,130,1,3957.62,-1284.444574535018,Low Value
      12379,82,2,852.24,-684.2676157995124,Low Value
      12380,22,4,2724.81,959.5224673866301,Medium Value
      12381,5,5,1821.91,1941.5472354879435,High Value
      12383,185,5,1772.11,4158.728064063604,High Value
      12384,29,2,585.27,-1337.104193102346,Low Value
      12386,338,2,401.9,2469.056229285871,High Value
      12388,16,6,2780.66,3268.466799145471,High Value
      12390,80,1,549.84,-1900.3281380282574,Low Value
      12391,22,1,456.21000000000004,-2614.753071680414,Low Value
      12393,72,4,1572.4,1575.4060308798694,High Value
      12394,64,2,1272.48,-905.985698657079,Low Value
      12395,19,12,3018.63,10453.970891089155,High Value
      12397,36,2,2409.9,-1250.8804942132924,Low Value
      12398,46,1,1635.6599999999999,-2319.12896120366,Low Value
      12399,119,4,1108.65,2154.3365805635135,High Value
      12401,303,1,84.3,846.5125551515889,Medium Value
      12402,323,1,225.6,1092.8659805488846,Medium Value
      12403,50,1,427.7,-2269.8582761242005,Low Value
      12405,149,1,1710.39,-1050.4088204075874,Low Value
      12406,22,2,3415.3,-1423.3278919913996,Low Value
      12407,50,5,1708.1200000000001,2495.8424426318593,High Value
      12408,33,5,2878.35,2286.442031044158,High Value
      12409,79,3,11072.67,470.20455007990813,Medium Value
      12410,309,2,693.3299999999999,2111.8437624597923,High Value
      12412,75,3,1217.52,420.9338650004488,Medium Value
      12413,67,3,758.1,322.39249484153015,Medium Value
      12414,217,3,562.41,2170.043185321247,High Value
      12415,24,21,123182.69,21238.385864639615,High Value
